Tempo,Cor,Tempo
2023-03-13 16:53:00,Red,2023-03-13 16:53:00
2023-03-13 16:52:00,Red,2023-03-13 16:52:00
2023-03-13 16:52:00,Black,2023-03-13 16:52:00
2023-03-13 16:51:00,Black,2023-03-13 16:51:00
2023-03-13 16:51:00,Red,2023-03-13 16:51:00
2023-03-13 16:50:00,Red,2023-03-13 16:50:00
2023-03-13 16:50:00,Black,2023-03-13 16:50:00
2023-03-13 16:49:00,Black,2023-03-13 16:49:00
2023-03-13 16:49:00,Red,2023-03-13 16:49:00
2023-03-13 16:48:00,Black,2023-03-13 16:48:00
2023-03-13 16:48:00,White,2023-03-13 16:48:00
2023-03-13 16:47:00,Black,2023-03-13 16:47:00
2023-03-13 16:47:00,Black,2023-03-13 16:47:00
2023-03-13 16:46:00,Black,2023-03-13 16:46:00
2023-03-13 16:46:00,Black,2023-03-13 16:46:00
2023-03-13 16:45:00,Red,2023-03-13 16:45:00
2023-03-13 16:45:00,White,2023-03-13 16:45:00
2023-03-13 16:44:00,White,2023-03-13 16:44:00
2023-03-13 16:44:00,Black,2023-03-13 16:44:00
2023-03-13 16:43:00,Black,2023-03-13 16:43:00
2023-03-13 16:43:00,Black,2023-03-13 16:43:00
2023-03-13 16:42:00,Red,2023-03-13 16:42:00
2023-03-13 16:42:00,Red,2023-03-13 16:42:00
2023-03-13 16:41:00,Black,2023-03-13 16:41:00
2023-03-13 16:41:00,Red,2023-03-13 16:41:00
2023-03-13 16:40:00,Black,2023-03-13 16:40:00
2023-03-13 16:40:00,Black,2023-03-13 16:40:00
2023-03-13 16:39:00,Black,2023-03-13 16:39:00
2023-03-13 16:39:00,Red,2023-03-13 16:39:00
2023-03-13 16:38:00,Red,2023-03-13 16:38:00
2023-03-13 16:38:00,Black,2023-03-13 16:38:00
2023-03-13 16:37:00,Black,2023-03-13 16:37:00
2023-03-13 16:37:00,Black,2023-03-13 16:37:00
2023-03-13 16:36:00,Black,2023-03-13 16:36:00
2023-03-13 16:36:00,Red,2023-03-13 16:36:00
2023-03-13 16:35:00,Red,2023-03-13 16:35:00
2023-03-13 16:35:00,Black,2023-03-13 16:35:00
2023-03-13 16:34:00,Black,2023-03-13 16:34:00
2023-03-13 16:34:00,Black,2023-03-13 16:34:00
2023-03-13 16:33:00,Red,2023-03-13 16:33:00
2023-03-13 16:33:00,Red,2023-03-13 16:33:00
2023-03-13 16:32:00,Red,2023-03-13 16:32:00
2023-03-13 16:32:00,Black,2023-03-13 16:32:00
2023-03-13 16:31:00,Red,2023-03-13 16:31:00
2023-03-13 16:31:00,Black,2023-03-13 16:31:00
2023-03-13 16:30:00,Black,2023-03-13 16:30:00
2023-03-13 16:30:00,Red,2023-03-13 16:30:00
2023-03-13 16:29:00,Red,2023-03-13 16:29:00
2023-03-13 16:29:00,Red,2023-03-13 16:29:00
2023-03-13 16:28:00,White,2023-03-13 16:28:00
2023-03-13 16:28:00,Red,2023-03-13 16:28:00
2023-03-13 16:27:00,Black,2023-03-13 16:27:00
2023-03-13 16:27:00,Red,2023-03-13 16:27:00
2023-03-13 16:26:00,Red,2023-03-13 16:26:00
2023-03-13 16:26:00,Black,2023-03-13 16:26:00
2023-03-13 16:25:00,Black,2023-03-13 16:25:00
2023-03-13 16:25:00,Black,2023-03-13 16:25:00
2023-03-13 16:24:00,Black,2023-03-13 16:24:00
2023-03-13 16:24:00,Red,2023-03-13 16:24:00
2023-03-13 16:23:00,Red,2023-03-13 16:23:00
2023-03-13 16:23:00,Black,2023-03-13 16:23:00
2023-03-13 16:22:00,White,2023-03-13 16:22:00
2023-03-13 16:22:00,Red,2023-03-13 16:22:00
2023-03-13 16:21:00,Black,2023-03-13 16:21:00
2023-03-13 16:21:00,Red,2023-03-13 16:21:00
2023-03-13 16:20:00,Black,2023-03-13 16:20:00
2023-03-13 16:20:00,Black,2023-03-13 16:20:00
2023-03-13 16:19:00,Red,2023-03-13 16:19:00
2023-03-13 16:19:00,Black,2023-03-13 16:19:00
2023-03-13 16:18:00,Red,2023-03-13 16:18:00
2023-03-13 16:18:00,Black,2023-03-13 16:18:00
2023-03-13 16:17:00,Black,2023-03-13 16:17:00
2023-03-13 16:17:00,Red,2023-03-13 16:17:00
2023-03-13 16:16:00,Red,2023-03-13 16:16:00
2023-03-13 16:16:00,Black,2023-03-13 16:16:00
2023-03-13 16:15:00,Red,2023-03-13 16:15:00
2023-03-13 16:15:00,Black,2023-03-13 16:15:00
2023-03-13 16:14:00,Red,2023-03-13 16:14:00
2023-03-13 16:14:00,Red,2023-03-13 16:14:00
2023-03-13 16:13:00,White,2023-03-13 16:13:00
2023-03-13 16:13:00,Red,2023-03-13 16:13:00
2023-03-13 16:12:00,Red,2023-03-13 16:12:00
2023-03-13 16:12:00,Red,2023-03-13 16:12:00
2023-03-13 16:11:00,Black,2023-03-13 16:11:00
2023-03-13 16:11:00,Black,2023-03-13 16:11:00
2023-03-13 16:10:00,Red,2023-03-13 16:10:00
2023-03-13 16:10:00,Red,2023-03-13 16:10:00
2023-03-13 16:09:00,Black,2023-03-13 16:09:00
2023-03-13 16:09:00,Black,2023-03-13 16:09:00
2023-03-13 16:08:00,Red,2023-03-13 16:08:00
2023-03-13 16:08:00,Black,2023-03-13 16:08:00
2023-03-13 16:07:00,Black,2023-03-13 16:07:00
2023-03-13 16:07:00,Black,2023-03-13 16:07:00
2023-03-13 16:06:00,Red,2023-03-13 16:06:00
2023-03-13 16:06:00,Red,2023-03-13 16:06:00
2023-03-13 16:05:00,Red,2023-03-13 16:05:00
2023-03-13 16:05:00,White,2023-03-13 16:05:00
2023-03-13 16:04:00,Red,2023-03-13 16:04:00
2023-03-13 16:04:00,Black,2023-03-13 16:04:00
2023-03-13 16:03:00,Black,2023-03-13 16:03:00
2023-03-13 16:03:00,Red,2023-03-13 16:03:00
2023-03-13 16:02:00,Black,2023-03-13 16:02:00
2023-03-13 16:02:00,Red,2023-03-13 16:02:00
2023-03-13 16:01:00,Red,2023-03-13 16:01:00
2023-03-13 16:01:00,Red,2023-03-13 16:01:00
2023-03-13 16:00:00,Red,2023-03-13 16:00:00
2023-03-13 16:00:00,Red,2023-03-13 16:00:00
2023-03-13 15:59:00,Black,2023-03-13 15:59:00
2023-03-13 15:59:00,Red,2023-03-13 15:59:00
2023-03-13 15:58:00,White,2023-03-13 15:58:00
2023-03-13 15:58:00,Red,2023-03-13 15:58:00
2023-03-13 15:57:00,Black,2023-03-13 15:57:00
2023-03-13 15:57:00,White,2023-03-13 15:57:00
2023-03-13 15:56:00,Red,2023-03-13 15:56:00
2023-03-13 15:56:00,Red,2023-03-13 15:56:00
2023-03-13 15:55:00,Black,2023-03-13 15:55:00
2023-03-13 15:55:00,Black,2023-03-13 15:55:00
2023-03-13 15:54:00,Red,2023-03-13 15:54:00
2023-03-13 15:54:00,Red,2023-03-13 15:54:00
2023-03-13 15:53:00,Black,2023-03-13 15:53:00
2023-03-13 15:53:00,Red,2023-03-13 15:53:00
2023-03-13 15:52:00,Black,2023-03-13 15:52:00
2023-03-13 15:52:00,Red,2023-03-13 15:52:00
2023-03-13 15:51:00,Red,2023-03-13 15:51:00
2023-03-13 15:51:00,Black,2023-03-13 15:51:00
2023-03-13 15:50:00,Red,2023-03-13 15:50:00
2023-03-13 15:50:00,Red,2023-03-13 15:50:00
2023-03-13 15:49:00,Red,2023-03-13 15:49:00
2023-03-13 15:49:00,Red,2023-03-13 15:49:00
2023-03-13 15:48:00,Black,2023-03-13 15:48:00
2023-03-13 15:48:00,White,2023-03-13 15:48:00
2023-03-13 15:47:00,Red,2023-03-13 15:47:00
2023-03-13 15:47:00,Black,2023-03-13 15:47:00
2023-03-13 15:46:00,Black,2023-03-13 15:46:00
2023-03-13 15:46:00,Red,2023-03-13 15:46:00
2023-03-13 15:45:00,Black,2023-03-13 15:45:00
2023-03-13 15:45:00,Black,2023-03-13 15:45:00
2023-03-13 15:44:00,Red,2023-03-13 15:44:00
2023-03-13 15:44:00,Black,2023-03-13 15:44:00
2023-03-13 15:43:00,Red,2023-03-13 15:43:00
2023-03-13 15:43:00,Red,2023-03-13 15:43:00
2023-03-13 15:42:00,Black,2023-03-13 15:42:00
2023-03-13 15:42:00,Red,2023-03-13 15:42:00
2023-03-13 15:41:00,Red,2023-03-13 15:41:00
2023-03-13 15:41:00,Black,2023-03-13 15:41:00
2023-03-13 15:40:00,Black,2023-03-13 15:40:00
2023-03-13 15:40:00,Black,2023-03-13 15:40:00
2023-03-13 15:39:00,Red,2023-03-13 15:39:00
2023-03-13 15:39:00,Red,2023-03-13 15:39:00
2023-03-13 15:38:00,Red,2023-03-13 15:38:00
2023-03-13 15:38:00,Black,2023-03-13 15:38:00
2023-03-13 15:37:00,Black,2023-03-13 15:37:00
2023-03-13 15:37:00,Black,2023-03-13 15:37:00
2023-03-13 15:36:00,Black,2023-03-13 15:36:00
2023-03-13 15:36:00,Red,2023-03-13 15:36:00
2023-03-13 15:35:00,Red,2023-03-13 15:35:00
2023-03-13 15:35:00,Red,2023-03-13 15:35:00
2023-03-13 15:34:00,Red,2023-03-13 15:34:00
2023-03-13 15:34:00,Red,2023-03-13 15:34:00
2023-03-13 15:33:00,Black,2023-03-13 15:33:00
2023-03-13 15:33:00,Black,2023-03-13 15:33:00
2023-03-13 15:32:00,White,2023-03-13 15:32:00
2023-03-13 15:32:00,Black,2023-03-13 15:32:00
2023-03-13 15:31:00,White,2023-03-13 15:31:00
2023-03-13 15:31:00,Black,2023-03-13 15:31:00
2023-03-13 15:30:00,Red,2023-03-13 15:30:00
2023-03-13 15:30:00,Red,2023-03-13 15:30:00
2023-03-13 15:29:00,Red,2023-03-13 15:29:00
2023-03-13 15:29:00,Black,2023-03-13 15:29:00
2023-03-13 15:28:00,Red,2023-03-13 15:28:00
2023-03-13 15:28:00,Black,2023-03-13 15:28:00
2023-03-13 15:27:00,Red,2023-03-13 15:27:00
2023-03-13 15:26:00,Black,2023-03-13 15:26:00
2023-03-13 15:26:00,Black,2023-03-13 15:26:00
2023-03-13 15:25:00,Black,2023-03-13 15:25:00
2023-03-13 15:25:00,Red,2023-03-13 15:25:00
2023-03-13 15:24:00,Black,2023-03-13 15:24:00
2023-03-13 15:24:00,Black,2023-03-13 15:24:00
2023-03-13 15:23:00,Black,2023-03-13 15:23:00
2023-03-13 15:23:00,Red,2023-03-13 15:23:00
2023-03-13 15:22:00,Red,2023-03-13 15:22:00
2023-03-13 15:22:00,Red,2023-03-13 15:22:00
2023-03-13 15:21:00,Red,2023-03-13 15:21:00
2023-03-13 15:21:00,Black,2023-03-13 15:21:00
2023-03-13 15:20:00,Red,2023-03-13 15:20:00
2023-03-13 15:20:00,Black,2023-03-13 15:20:00
2023-03-13 15:19:00,Black,2023-03-13 15:19:00
2023-03-13 15:19:00,Black,2023-03-13 15:19:00
2023-03-13 15:18:00,Black,2023-03-13 15:18:00
2023-03-13 15:18:00,Black,2023-03-13 15:18:00
2023-03-13 15:17:00,Black,2023-03-13 15:17:00
2023-03-13 15:17:00,Red,2023-03-13 15:17:00
2023-03-13 15:16:00,Black,2023-03-13 15:16:00
2023-03-13 15:16:00,Red,2023-03-13 15:16:00
2023-03-13 15:15:00,Black,2023-03-13 15:15:00
2023-03-13 15:15:00,Red,2023-03-13 15:15:00
2023-03-13 15:14:00,Black,2023-03-13 15:14:00
2023-03-13 15:14:00,Black,2023-03-13 15:14:00
2023-03-13 15:13:00,Black,2023-03-13 15:13:00
2023-03-13 15:13:00,Red,2023-03-13 15:13:00
2023-03-13 15:12:00,Red,2023-03-13 15:12:00
2023-03-13 15:12:00,Black,2023-03-13 15:12:00
2023-03-13 15:11:00,Red,2023-03-13 15:11:00
2023-03-13 15:11:00,White,2023-03-13 15:11:00
2023-03-13 15:10:00,Black,2023-03-13 15:10:00
2023-03-13 15:10:00,Red,2023-03-13 15:10:00
2023-03-13 15:09:00,Red,2023-03-13 15:09:00
2023-03-13 15:09:00,Black,2023-03-13 15:09:00
2023-03-13 15:08:00,Black,2023-03-13 15:08:00
2023-03-13 15:08:00,White,2023-03-13 15:08:00
2023-03-13 15:07:00,Black,2023-03-13 15:07:00
2023-03-13 15:07:00,Black,2023-03-13 15:07:00
2023-03-13 15:06:00,Black,2023-03-13 15:06:00
2023-03-13 15:06:00,Black,2023-03-13 15:06:00
2023-03-13 15:05:00,Black,2023-03-13 15:05:00
2023-03-13 15:05:00,Black,2023-03-13 15:05:00
2023-03-13 15:04:00,Red,2023-03-13 15:04:00
2023-03-13 15:04:00,Black,2023-03-13 15:04:00
2023-03-13 15:03:00,Black,2023-03-13 15:03:00
2023-03-13 15:03:00,Black,2023-03-13 15:03:00
2023-03-13 15:02:00,Red,2023-03-13 15:02:00
2023-03-13 15:02:00,Black,2023-03-13 15:02:00
2023-03-13 15:01:00,Black,2023-03-13 15:01:00
2023-03-13 15:01:00,Black,2023-03-13 15:01:00
2023-03-13 15:00:00,White,2023-03-13 15:00:00
2023-03-13 15:00:00,White,2023-03-13 15:00:00
2023-03-13 14:59:00,White,2023-03-13 14:59:00
2023-03-13 14:59:00,Red,2023-03-13 14:59:00
2023-03-13 14:58:00,Red,2023-03-13 14:58:00
2023-03-13 14:58:00,Black,2023-03-13 14:58:00
2023-03-13 14:57:00,Red,2023-03-13 14:57:00
2023-03-13 14:57:00,Red,2023-03-13 14:57:00
2023-03-13 14:56:00,Black,2023-03-13 14:56:00
2023-03-13 14:56:00,Black,2023-03-13 14:56:00
2023-03-13 14:55:00,Red,2023-03-13 14:55:00
2023-03-13 14:55:00,Black,2023-03-13 14:55:00
2023-03-13 14:54:00,Red,2023-03-13 14:54:00
2023-03-13 14:54:00,Black,2023-03-13 14:54:00
2023-03-13 14:53:00,Black,2023-03-13 14:53:00
2023-03-13 14:53:00,Black,2023-03-13 14:53:00
2023-03-13 14:52:00,White,2023-03-13 14:52:00
2023-03-13 14:52:00,Red,2023-03-13 14:52:00
2023-03-13 14:51:00,White,2023-03-13 14:51:00
2023-03-13 14:51:00,Red,2023-03-13 14:51:00
2023-03-13 14:50:00,Black,2023-03-13 14:50:00
2023-03-13 14:50:00,Red,2023-03-13 14:50:00
2023-03-13 14:49:00,Black,2023-03-13 14:49:00
2023-03-13 14:49:00,Red,2023-03-13 14:49:00
2023-03-13 14:48:00,Black,2023-03-13 14:48:00
2023-03-13 14:48:00,White,2023-03-13 14:48:00
2023-03-13 14:47:00,Red,2023-03-13 14:47:00
2023-03-13 14:47:00,Black,2023-03-13 14:47:00
2023-03-13 14:46:00,Red,2023-03-13 14:46:00
2023-03-13 14:46:00,Black,2023-03-13 14:46:00
2023-03-13 14:45:00,Red,2023-03-13 14:45:00
2023-03-13 14:45:00,Red,2023-03-13 14:45:00
2023-03-13 14:44:00,Black,2023-03-13 14:44:00
2023-03-13 14:44:00,Red,2023-03-13 14:44:00
2023-03-13 14:43:00,Black,2023-03-13 14:43:00
2023-03-13 14:43:00,Black,2023-03-13 14:43:00
2023-03-13 14:42:00,Black,2023-03-13 14:42:00
2023-03-13 14:42:00,Black,2023-03-13 14:42:00
2023-03-13 14:41:00,Red,2023-03-13 14:41:00
2023-03-13 14:41:00,Black,2023-03-13 14:41:00
2023-03-13 14:40:00,Red,2023-03-13 14:40:00
2023-03-13 14:40:00,Red,2023-03-13 14:40:00
2023-03-13 14:39:00,Red,2023-03-13 14:39:00
2023-03-13 14:39:00,Black,2023-03-13 14:39:00
2023-03-13 14:38:00,Red,2023-03-13 14:38:00
2023-03-13 14:38:00,Red,2023-03-13 14:38:00
2023-03-13 14:37:00,White,2023-03-13 14:37:00
2023-03-13 14:37:00,Black,2023-03-13 14:37:00
2023-03-13 14:36:00,Red,2023-03-13 14:36:00
2023-03-13 14:36:00,Black,2023-03-13 14:36:00
2023-03-13 14:35:00,Red,2023-03-13 14:35:00
2023-03-13 14:35:00,Red,2023-03-13 14:35:00
2023-03-13 14:34:00,Black,2023-03-13 14:34:00
2023-03-13 14:34:00,Red,2023-03-13 14:34:00
2023-03-13 14:33:00,Red,2023-03-13 14:33:00
2023-03-13 14:33:00,Red,2023-03-13 14:33:00
2023-03-13 14:32:00,Black,2023-03-13 14:32:00
2023-03-13 14:32:00,Black,2023-03-13 14:32:00
2023-03-13 14:31:00,Red,2023-03-13 14:31:00
2023-03-13 14:31:00,Red,2023-03-13 14:31:00
2023-03-13 14:30:00,Black,2023-03-13 14:30:00
2023-03-13 14:30:00,Black,2023-03-13 14:30:00
2023-03-13 14:29:00,Red,2023-03-13 14:29:00
2023-03-13 14:29:00,Black,2023-03-13 14:29:00
2023-03-13 14:28:00,Black,2023-03-13 14:28:00
2023-03-13 14:28:00,Red,2023-03-13 14:28:00
2023-03-13 14:27:00,White,2023-03-13 14:27:00
2023-03-13 14:27:00,Black,2023-03-13 14:27:00
2023-03-13 14:26:00,Black,2023-03-13 14:26:00
2023-03-13 14:26:00,Red,2023-03-13 14:26:00
2023-03-13 14:25:00,Black,2023-03-13 14:25:00
2023-03-13 14:25:00,Red,2023-03-13 14:25:00
2023-03-13 14:24:00,Red,2023-03-13 14:24:00
2023-03-13 14:24:00,White,2023-03-13 14:24:00
2023-03-13 14:23:00,Black,2023-03-13 14:23:00
2023-03-13 14:23:00,White,2023-03-13 14:23:00
2023-03-13 14:22:00,Red,2023-03-13 14:22:00
2023-03-13 14:22:00,Black,2023-03-13 14:22:00
2023-03-13 14:21:00,White,2023-03-13 14:21:00
2023-03-13 14:21:00,White,2023-03-13 14:21:00
2023-03-13 14:20:00,Black,2023-03-13 14:20:00
2023-03-13 14:20:00,Black,2023-03-13 14:20:00
2023-03-13 14:19:00,Black,2023-03-13 14:19:00
2023-03-13 14:19:00,White,2023-03-13 14:19:00
